Types	Questions	Answers	PlayerName	SportCategory	Context	Popularity	Unnamed: 0
58	How many medals did Katie Grimes win in his mid twenties ?	0	Katie Grimes	Swimming	"Katie Grimes

Personal Information
Coach
Ron Aitken	

Birth Date
2006-1-8	

Birth Place
Las Vegas, Nevada, U	

Height

Weight

Country Representing: USA
World Championships (LC)
1500 m freestyle	MedalSilver | 1500 | m freestyle
400 m medley	MedalSilver | 2022 | Budapest, MedalSilver | 2023 | Fukuoka
10 km open water	MedalBronze | 2023 | Fukuoka

World Junior Open Water Championships
7	MedalGold | 2022 | Victoria
Team event	MedalGold | 2022 | Victoria

"	Neutral	
1	How many World Championships (LC) Silver Medals did Pernille Blume win ?	0	Pernille Blume	Swimming	"Pernille Blume

Personal Information
Birth Date
1994-5-14	

Birth Place
Herlev	

Height
1.70 m	

Weight
58  kg	

Coach
Shannon Rollason 	

Country Representing: DEN
Olympic Games
50 m freestyle	MedalGold | 2016 | SOG, MedalBronze | 2020 | SOG
4x100 m medley	MedalBronze | 2016 | SOG

World Championships (LC)
100 m freestyle	MedalBronze | 2017 | Budapest

World Championships (SC)
4x100 m medley	MedalGold | 2012 | Istanbul, MedalGold | 2014 | Doha
4x50 m medley	MedalGold | 2014 | Doha
4x100 m freestyle	MedalBronze | 2012 | Istanbul
4x50 m freestyle	MedalBronze | 2014 | Doha

European Championships (LC)
4x100 m medley	MedalGold | 2014 | Berlin, MedalSilver | 2018 | Glasgow
50 m freestyle	MedalSilver | 2018 | Glasgow, MedalSilver | 2020 | Budapest
4x100 m freestyle	MedalBronze | 2018 | Glasgow

European Championships (SC)
4x50 m medley	MedalGold | 2011 | Szczecin, MedalGold | 2012 | Chartres, MedalGold | 2013 | Herning, MedalSilver | 2017 | Copenhagen
4x50 m freestyle	MedalGold | 2012 | Chartres, MedalGold | 2013 | Herning, MedalSilver | 2011 | Szcczecin, MedalBronze | 2017 | Copenhagen, MedalBronze | 2019 | Glasgow
50 m freestyle	MedalBronze | 2017 | Copenhagen, MedalBronze | 2019 | Glasgow
100 m freestyle	MedalBronze | 2017 | Copenhagen
4x50 m mixed medley	MedalBronze | 2019 | Glasgow

"	Neutral	
39	Which was the most current medal win for Koki Niwa ?	2020  Tokyo Olympic Games in Team format	Koki Niwa	TableTennis	"Koki Niwa

Personal Information
Birth Date
1994-10-10	

Birth Place
Tomakomai, Hokkaido	

Height
1.62 m	

Weight
51& kg	

Country Representing: JPN
Olympic Games
Team	MedalSilver | 2016 | Rio de Janeiro, MedalBronze | 2020 | Tokyo

World Championships
Team	MedalSilver | 2016 | Kuala Lumpur, MedalBronze | 2012 | Dortmund, MedalBronze | 2014 | Tokyo
Doubles	MedalBronze | 2015 | Suzhou, MedalBronze | 2017 | Düsseldorf

World Cup
Team	MedalSilver | 2018 | London

Youth Olympic Games
Singles	MedalGold | 2010 | Singapore
Mixed Team	MedalGold | 2010 | Singapore

Asian Youth Games
Singles	MedalBronze | 2009 | Singapore

Asian Games
Doubles	MedalBronze | 2010 | Guangzhou, MedalBronze | 2014 | Incheon
Team	MedalBronze | 2010 | Guangzhou, MedalBronze | 2014 | Incheon

Asian Championships
Team	MedalSilver | 2009 | Lucknow, MedalSilver | 2012 | Macau, MedalSilver | 2013 | Busan
Mixed Doubles	MedalSilver | 2013 | Busan
Doubles	MedalBronze | 2009 | Lucknow, MedalBronze | 2013 | Busan, MedalBronze | 2017 | Wuxi
Singles	MedalBronze | 2017 | Wuxi

"	Neutral	
21	Which tournament(s) has Anthony Sinisuka Ginting won the most Gold Medals in ?	Thomas Cup 2020, Asian Championships 2023, Asia Team Championships 2016, Asia Team Championships 2018, Asia Team Championships 2020, SEA Games 2015, SEA Games 2019	Anthony Sinisuka Ginting	Badminton	"Anthony Sinisuka Ginting

Personal Information
Birth Date
1996-10-20	

Birth Place
Cimahi	

Height

Weight
66 kg	

Years Active
2013-present	

Handedness
Right	

Coach
Irwansyah	

Career Record
287 wins, 158 losses	

Country Representing: INA
Olympic Games
Men's singles	MedalBronze | 2020 | Tokyo

Sudirman Cup
Mixed team 	MedalBronze | 2019 | Nanning

Thomas Cup
Men's team 	MedalGold | 2020 | Aarhus, MedalSilver | 2016 | Kunshan, MedalSilver | 2022 | Bangkok, MedalSilver | 2024 | Chengdu, MedalBronze | 2018 | Bangkok

Asian Games
Men's team	MedalSilver | 2018 | Jakarta
Men's singles	MedalBronze | 2018 | Jakarta

Asian Championships
Men's singles 	MedalGold | 2023 | Dubai

Asia Team Championships
Men's team 	MedalGold | 2016 | Hyderabad, MedalGold | 2018 | Alor Setar, MedalGold | 2020 | Manila

SEA Games
Men's team	MedalGold | 2015 | Singapore, MedalGold | 2019 | Philippines

Youth Olympic Games
Boys' singles	MedalBronze | 2014 | Nanjing

World Junior Championships
Mixed team	MedalSilver | 2014 | Alor Setar
Boys' singles	MedalBronze | 2014 | Alor Setar

"	Neutral	
27	How many medals did Martin Malyutin win in the 4x200 m freestyle World Junior Championships ?	1	Martin Malyutin	Swimming	"Martin Malyutin

Personal Information
Birth Date
1999-7-5	

Birth Place
Omsk	

Height

Weight

Country Representing: Russia
World Championships (LC)
4x200 m freestyle	MedalSilver | 2019 | Gwangju
200 m freestyle	MedalBronze | 2019 | Gwangju

World Championships (SC)
4x200 m freestyle	MedalSilver | 2018 | Hangzhou

European Championships (LC)
200 m freestyle	MedalGold | 2020 | Budapest
400 m freestyle	MedalGold | 2020 | Budapest
4x200 m freestyle	MedalGold | 2020 | Budapest, MedalSilver | 2018 | Glasgow
4x200 m mixed freestyle	MedalSilver | 2018 | Glasgow

World Junior Championships
4x200 m freestyle	MedalBronze | 2017 | Indianapolis

"	Neutral	
73	How many years passed between Tomokazu Harimoto's first and most recent International medal ?	8	Tomokazu Harimoto	TableTennis	"Tomokazu Harimoto

Personal Information
Birth Date
2003-6-27	

Birth Place
Sendai	

Height
1.78 m	

Weight
64  kg	

Country Representing: JPN
Olympic Games
Team	MedalBronze | 2020 | Tokyo

World Championships
Mixed doubles	MedalSilver | 2021 | Houston, MedalSilver | 2023 | Durban
Team	MedalBronze | 2022 | Chengdu

World Cup
Team	MedalSilver | 2018 | London
Singles	MedalSilver | 2019 | Chengdu, MedalBronze | 2024 | Macao
Mixed team	MedalBronze | 2023 | Chengdu

WTT Cup Finals
Singles	MedalSilver | 2021 | Singapore, MedalSilver | 2022 | Xinxiang

ITTF World Tour Grand Finals
Singles	MedalGold | 2018 | Incheon

Asian Championships
Team	MedalBronze | 2017 | Wuxi, MedalBronze | 2019 | Yogyakarta
Singles	MedalBronze | 2019 | Yogyakarta

Asian Cup
Singles	MedalGold | 2022 | Bangkok

Summer Youth Olympics
Singles	MedalSilver | 2018 | Buenos Aires
Mixed team	MedalSilver | 2018 | Buenos Aires

World Junior Championships
Singles	MedalGold | 2016 | Cape Town
Team	MedalGold | 2016 | Cape Town
Doubles	MedalSilver | 2016 | Cape Town

Asian Junior Championships
Team	MedalGold | 2016 | Bangkok
Singles	MedalSilver | 2016 | Bangkok

"	Neutral	
75	In which format did Torri Huske win his/her first International medal ?	4x100 m freestyle, 4x100 m mixed medley, 100 m freestyle, 100 m butterfly, 50 m butterfly, 4x100 m medley	Torri Huske	Swimming	"Torri Huske

Personal Information
Coach
Greg Meehan	

Birth Date
2002-12-7	

Birth Place
Arlington, Virginia	

Height

Weight

Country Representing: USA
Olympic Games
4x100 m medley	MedalSilver | 2020 | Tokyo

World Championships (LC)
100 m butterfly	MedalGold | 2022 | Budapest, MedalBronze | 2023 | Fukuoka
4x100 m medley	MedalGold | 2022 | Budapest, MedalGold | 2023 | Fukuoka
4x100 m mixed medley	MedalGold | 2022 | Budapest, MedalBronze | 2023 | Fukuoka
4x100 m freestyle	MedalSilver | 2023 | Fukuoka, MedalBronze | 2022 | Budapest
100 m freestyle	MedalBronze | 2022 | Budapest
4x100 m mixed freestyle	MedalBronze | 2022 | Budapest

World Championships (SC)
4x100 m freestyle	MedalGold | 2021 | Abu Dhabi, MedalSilver | 2022 | Melbourne
4x50 m freestyle	MedalGold | 2021 | Abu Dhabi, MedalGold | 2022 | Melbourne
50 m butterfly	MedalGold | 2022 | Melbourne
4x100 m medley	MedalGold | 2022 | Melbourne
4x50 m mixed medley	MedalGold | 2022 | Melbourne
4x200 m freestyle	MedalSilver | 2021 | Abu Dhabi
100 m butterfly	MedalSilver | 2022 | Melbourne
4x50 m medley	MedalSilver | 2022 | Melbourne

World Junior Championships
50 m butterfly	MedalGold | 2019 | Budapest
100 m butterfly	MedalGold | 2019 | Budapest
4x100 m freestyle	MedalGold | 2019 | Budapest
4x100 m medley	MedalGold | 2019 | Budapest
4x100 m mixed medley	MedalGold | 2019 | Budapest
100 m freestyle	MedalSilver | 2019 | Budapest

"	Neutral	
35	In which city did Martina Carraro win his/her first World Championships (SC) Bronze Medals ?	Hangzhou	Martina Carraro	Swimming	"Martina Carraro

Personal Information
Birth Date
1993-6-21	

Birth Place
Genoa	

Height

Weight

Country Representing: ITA
World Championships (LC)
100 m breaststroke	MedalBronze | 2019 | Gwangju

World Championships (SC)
4x50 m medley	MedalSilver | 2016 | Windsor
50 m breaststroke	MedalBronze | 2018 | Hangzhou
4x100 m medley	MedalBronze | 2018 | Hangzhou

European Championships (LC)
4x100 m medley	MedalSilver | 2016 | London, MedalBronze | 2020 | Budapest
4x100 m mixed medley	MedalSilver | 2016 | London
200 m breaststroke	MedalSilver | 2022 | Rome
100 m breaststroke	MedalBronze | 2020 | Budapest

European Championships (SC)
100 m breaststroke	MedalGold | 2019 | Glasgow
50 m breaststroke	MedalSilver | 2019 | Glasgow
200 m breaststroke	MedalBronze | 2019 | Glasgow
4x50 m medley	MedalBronze | 2015 | Netanya

Youth level

Summer Youth Olympics
50 m breaststroke	MedalSilver | 2010 | Singapore

"	Neutral	
1002	How many times did Áron Szilágyi win a gold medal in an event, followed by any other medal in the same event?	4	Áron Szilágyi		"Áron Szilágyi

Personal Information
Birth Date
1990-1-14	

Birth Place
Budapest	

Height
1.80 m	

Weight
78  kg	

Coach
András Decsi	
Béla Somlai, György Gerevich	

Country Representing: HUN
Olympic Games
Individual	MedalGold | 2012 | London, MedalGold | 2016 | Rio de Janeiro, MedalGold | 2020 | Tokyo
Team	MedalBronze | 2020 | Tokyo

World Championships
Team	MedalGold | 2007 | Saint Petersburg, MedalGold | 2023 | Milan, MedalSilver | 2016 | Rio de Janeiro, MedalSilver | 2017 | Leipzig, MedalSilver | 2019 | Budapest, MedalSilver | 2022 | Cairo, MedalBronze | 2009 | Antalya, MedalBronze | 2014 | Kazan, MedalBronze | 2018 | Wuxi
Individual	MedalGold | 2022 | Cairo, MedalBronze | 2013 | Budapest, MedalBronze | 2023 | Milan

European Games
Individual	MedalBronze | 2023 | Kraków

European Championships
Individual	MedalGold | 2015 | Montreux, MedalSilver | 2017 | Tbilisi, MedalBronze | 2011 | Sheffield
Team	MedalGold | 2018 | Novi Sad, MedalGold | 2022 | Antalya, MedalGold | 2024 | Basel, MedalSilver | 2013 | Zagreb, MedalSilver | 2019 | Düsseldorf, MedalBronze | 2015 | Montreux, MedalBronze | 2017 | Tbilisi

"		490.0
5	In which format(s) is Laura Graves most succesfull ?	Individual dressage	Laura Graves	Dressage	"Laura Graves

Personal Information
Birth Date
1987-7-22	

Birth Place
Burlington, Vermont	

Country Representing: USA
Olympic Games
Team dressage	MedalBronze | 2016 | Rio de Janeiro

World Championships
Team dressage	MedalSilver | 2018 | Tryon
Special dressage	MedalSilver | 2018 | Tryon

World Cup
Individual dressage	MedalSilver | 2017 | Omaha, MedalSilver | 2018 | Paris, MedalSilver | 2019 | Gothenburg

Pan American Games
Team dressage	MedalGold | 2015 | Toronto
Individual dressage	MedalSilver | 2015 | Toronto

"	Neutral	
35	In which city did Stefani Stoeva win his/her first European Junior Championships Bronze Medals ?	Stefani Stoeva has not won any Bronze Medals in European Junior Championships	Stefani Stoeva	Badminton	"Stefani Stoeva

Personal Information
Birth Date
1995-09-23	

Birth Place
Galabovo	

Height

Weight

Years Active
2009-present	

Handedness
Right	

Coach
	

Date Of Highest Ranking
with 	

Country Representing: BUL
European Games
Women's doubles	MedalGold | 2015 | Baku, MedalGold | 2023 | Kraków

European Championships
Women's doubles 	MedalGold | 2018 | Huelva, MedalGold | 2021 | Kyiv, MedalGold | 2022 | Madrid, MedalSilver | 2017 | Kolding, MedalSilver | 2024 | Saarbrücken

European Women
Women's team 	MedalSilver | 2016 | Kazan, MedalBronze | 2014 | Basel

European Junior Championships
Women's singles 	MedalGold | 2013 | Ankara
Women's doubles 	MedalGold | 2013 | Ankara

"	Neutral	
5	In which format(s) is Obadele Thompson most succesfull ?	100 m	Obadele Thompson	Sprint	"Obadele Thompson

Personal Information
Birth Date
1976-03-30	

Birth Place
Saint Michael, Barbados	

Height

Weight

Coach
	

Country Representing: BAR
Olympic Games
100 m	MedalBronze | 2000 | Sydney

Commonwealth Games
100 m	MedalBronze | 1998 | Kuala Lumpur

World Indoor Championships
200 m	MedalSilver | 1999 | Maebashi

IAAF World Cup in Athletics
100 m	MedalGold | 1998 | Johannesburg

World University Games
100 m	MedalSilver | 1995 | Fukuoka

Central American and Caribbean Games
100 m	MedalGold | 1998 | Maracaibo

CAC Championships
100 m	MedalGold | 1993 | Cali, MedalGold | 1995 | Guatemala City, MedalGold | 1999 | Bridgetown
200 m	MedalGold | 1995 | Guatemala City
4x100 m relay	MedalGold | 1999 | Bridgetown, MedalGold | 2001 | Guatemala City, MedalSilver | 1995 | Guatemala City

Country Representing: 21
"	Neutral	
21	Which tournament(s) has Divine Oduduru won the most Gold Medals in ?	African Junior Championships 2015	Divine Oduduru	Sprint	"Divine Oduduru

Personal Information
Birth Date
1996-10-07	

Birth Place
Ughelli	

Years Active
2007-– present	

Height
170 cm	

Weight
70 kg	

Coach
Wes Kittley	

Country Representing: Nigeria
African Championships
4x100 m relay	MedalGold | 2014 | Marrakesh, MedalSilver | 2018 | Asaba
200 m	MedalSilver | 2018 | Asaba

African Games
200 m	MedalSilver | 2015 | Brazzaville, MedalSilver | 2019 | Rabat
4x100 m relay	MedalSilver | 2019 | Rabat

World Junior Championships
200 m	MedalSilver | 2014 | Oregon

African Junior Championships
100 m	MedalGold | 2015 | Addis Ababa
200 m	MedalGold | 2015 | Addis Ababa, MedalGold | 2013 | Réduit
4x100 m relay	MedalGold | 2015 | Addis Ababa, MedalGold | 2013 | Réduit

African Youth Championships
100 m	MedalGold | 2013 | Warri
200 m	MedalGold | 2013 | Warri
Medley  relay	MedalBronze | 2013 | Warri

"	Neutral	
36	At what age did Fernando Scheffer win his/her most recent South American Games Gold Medals ?	20	Fernando Scheffer	Swimming	"Fernando Scheffer

Personal Information
Birth Date
1998-4-6	

Birth Place

Height
1.88 m	

Weight
79  kg	

Country Representing: BRA
Olympic Games
200 m freestyle	MedalBronze | 2020 | Tokyo

World Championships (SC)
4x200 m freestyle	MedalGold | 2018 | Hangzhou, MedalBronze | 2021 | Abu Dhabi

Pan American Games
200 m freestyle	MedalGold | 2019 | Lima
4x200 m freestyle	MedalGold | 2019 | Lima, MedalGold | 2023 | Santiago
400 m freestyle	MedalSilver | 2019 | Lima

South American Games
200 m freestyle	MedalGold | 2018 | Cochabamba
4x200 m freestyle	MedalGold | 2018 | Cochabamba
4x100 m freestyle	MedalSilver | 2018 | Cochabamba

Military World Games
4x100 m freestyle	MedalGold | 2019 | Wuhan
200 m freestyle	MedalSilver | 2019 | Wuhan
4x200 m freestyle	MedalSilver | 2019 | Wuhan

"	Neutral	
32	Has Nickel Ashmeade ever won a Bronze Medals in the World Junior Championships?	No	Nickel Ashmeade	Sprint	"Nickel Ashmeade

Personal Information
Birth Date
1990-4-7	

Birth Place
Ocho Rios	

Height

Weight
169  lb	

Country Representing: JAM
Olympic Games
4x100 m relay	MedalGold | 2016 | Rio de Janeiro

World Championships
4x100 m relay	MedalGold | 2013 | Moscow, MedalGold | 2015 | Beijing

World Relay Championships
4x200 m relay	MedalGold | 2015 | Nassau, MedalBronze | 2017 | Nassau
4x100 m relay	MedalSilver | 2015 | Nassau

Commonwealth Games
4x100 m relay	MedalGold | 2014 | Glasgow
100 m	MedalBronze | 2014 | Glasgow

World Junior Championships
200 m	MedalSilver | 2008 | Bydgoszcz
4x100 m relay	MedalSilver | 2008 | Bydgoszcz

World Youth Championships
100 m	MedalSilver | 2007 | Ostrava
200 m	MedalBronze | 2007 | Ostrava
Medley relay	MedalBronze | 2007 | Ostrava

"	Neutral	
